274,272,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,271
274,274,274,274,170,188,171,252,274,274,273,274,274,274,274,274,170,188,188,188,188,188,171,274,274
274,170,188,188,189,264,187,171,274,274,252,252,274,274,170,188,189,264,264,264,264,264,165,252,274
274,167,264,245,264,264,264,187,188,188,188,188,188,188,189,264,264,264,264,267,264,244,187,171,274
274,167,268,264,264,244,264,264,264,264,264,264,264,264,264,245,268,264,264,264,264,264,264,165,274
274,192,145,264,264,264,264,264,264,264,264,245,264,267,264,264,264,264,265,264,264,264,245,165,166
274,274,192,144,145,264,264,264,266,264,264,268,264,264,264,264,264,264,264,264,267,264,264,165,274
274,274,252,274,192,145,264,264,264,264,264,264,268,264,264,264,265,264,264,264,264,264,264,165,274
274,271,274,274,274,167,264,264,264,264,264,264,264,264,264,264,264,264,264,264,268,264,264,165,274
274,274,274,274,274,167,264,268,264,264,264,264,264,264,264,267,264,264,264,264,264,264,143,193,274
274,274,274,274,274,167,264,264,264,265,264,264,264,264,264,264,264,264,264,264,143,144,193,274,274
274,274,274,274,270,167,264,264,264,264,264,264,264,264,264,265,264,264,264,143,193,274,271,274,274
274,274,274,274,252,167,264,264,264,264,264,265,264,264,264,264,264,264,265,165,252,274,274,274,274
274,274,274,274,274,167,264,245,264,264,264,264,264,264,245,264,264,264,264,165,274,274,274,274,274
274,274,273,274,170,189,264,264,264,264,264,264,264,264,266,264,264,264,245,165,252,274,274,274,272
274,274,274,170,189,264,264,264,264,264,264,267,264,245,264,264,264,264,264,187,188,171,274,274,274
274,274,170,189,264,264,267,264,264,267,264,264,264,264,264,264,244,264,264,264,264,165,274,274,274
274,170,189,265,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,165,166,274,274
274,167,264,264,264,264,264,264,264,264,264,264,264,264,264,264,244,264,264,264,267,187,171,274,274
274,167,264,264,264,264,264,267,264,264,264,264,245,264,264,264,264,264,264,264,264,244,165,274,274
274,167,264,266,264,264,265,264,264,264,267,264,264,264,244,264,264,268,264,264,143,144,193,274,274
252,192,145,264,264,264,264,264,264,264,264,264,264,264,264,264,143,144,144,144,193,274,274,274,274
274,252,192,144,144,144,144,144,144,145,264,266,143,144,144,144,193,274,274,274,274,274,274,274,274
274,274,274,274,274,252,274,274,274,192,144,144,193,166,274,274,274,274,274,274,274,274,271,274,274
274,274,274,274,274,274,270,274,274,274,274,274,274,274,274,274,274,274,270,274,274,274,274,274,274
